date,open,close,Name
2019-04-24,22.85,23.13,binancecoin
2019-04-23,23.91,22.88,binancecoin
2019-04-22,24.19,23.91,binancecoin
2019-04-21,24.99,24.19,binancecoin
2019-04-20,24.52,25.01,binancecoin
2019-04-19,22.03,24.48,binancecoin
2019-04-18,19.59,22.04,binancecoin
2019-04-17,19.83,19.6,binancecoin
2019-04-16,19.39,19.83,binancecoin
2019-04-15,19.49,19.4,binancecoin
2019-04-14,18.71,19.49,binancecoin
2019-04-13,18.44,18.72,binancecoin
2019-04-12,17.69,18.43,binancecoin
2019-04-11,18.28,17.7,binancecoin
2019-04-10,18.43,18.25,binancecoin
2019-04-09,18.11,18.44,binancecoin
2019-04-08,19.08,18.11,binancecoin
2019-04-07,19.11,19.11,binancecoin
2019-04-06,19.46,19.12,binancecoin
2019-04-05,19.14,19.45,binancecoin
2019-04-04,18.74,19.14,binancecoin
2019-04-03,19.8,18.75,binancecoin
2019-04-02,17.96,19.79,binancecoin
2019-04-01,17.41,17.95,binancecoin
2019-03-31,16.93,17.4,binancecoin
2019-03-30,16.49,16.93,binancecoin
2019-03-29,16.8,16.51,binancecoin
2019-03-28,16.78,16.81,binancecoin
2019-03-27,16.29,16.78,binancecoin
2019-03-26,16.76,16.34,binancecoin
2019-03-25,17.25,16.84,binancecoin
2019-03-24,15.24,17.29,binancecoin
2019-03-23,15.25,15.24,binancecoin
2019-03-22,14.5,15.27,binancecoin
2019-03-21,15.28,14.52,binancecoin
2019-03-20,15.69,15.28,binancecoin
2019-03-19,15.68,15.69,binancecoin
2019-03-18,15.75,15.68,binancecoin
2019-03-17,16.09,15.76,binancecoin
2019-03-16,15.05,16.12,binancecoin
2019-03-15,15.03,15.08,binancecoin
2019-03-14,15.12,15.05,binancecoin
2019-03-13,15.43,15.12,binancecoin
2019-03-12,14.5,15.41,binancecoin
2019-03-11,14.5,14.51,binancecoin
2019-03-10,14.57,14.49,binancecoin
2019-03-09,14.28,14.57,binancecoin
2019-03-08,15.23,14.37,binancecoin
2019-03-07,14.53,15.15,binancecoin
2019-03-06,13.75,14.52,binancecoin
2019-03-05,11.52,13.81,binancecoin
2019-03-04,11.54,11.55,binancecoin
2019-03-03,11.85,11.54,binancecoin
2019-03-02,11.38,11.87,binancecoin
2019-03-01,10.36,11.39,binancecoin
